0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:25:58 +0900] "GET /final_mvc/noticeSearch.do HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:25:59 +0900] "GET /final_mvc/noticeDetail.do?notice_num=3 HTTP/1.1" 200 20196
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:03 +0900] "GET /final_mvc/managementPage.mm HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:04 +0900] "GET /final_mvc/noticeSearch.do HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:06 +0900] "GET /final_mvc/boardList.bo HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:06 +0900] "GET /final_mvc/noticeSearch.do HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:15 +0900] "GET /final_mvc/boardList.bo HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:16 +0900] "GET /final_mvc/boardDetail.bo?qna_num=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:16 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:17 +0900] "GET /final_mvc/resources/css/comment.css HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:25 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:25 +0900] "GET /final_mvc/resources/css/comment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:27:57 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:27:57 +0900] "GET /final_mvc/resources/css/comment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:27:57 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
